time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
4542, 2064, 9.552865, -0.878672, 1.659182, 0.035440, 0.053559, 0.015988, 23.447647
4552, 2034, 9.622296, -0.948104, 1.850718, 0.033308, 0.066349, 0.008260, 23.459412
4562, 1925, 9.598354, -1.000776, 1.960851, 0.018386, 0.043700, 0.009060, 23.459412
4572, 1618, 9.507375, -1.031901, 1.896208, -0.006662, 0.015988, 0.012257, 23.453529
4582, 1578, 9.409213, -1.055843, 1.735796, -0.026380, 0.014123, 0.017054, 23.462353
4592, 1571, 9.375694, -1.046266, 1.570596, -0.047164, 0.052760, 0.016787, 23.447647
4602, 1456, 9.409213, -0.993594, 1.477222, -0.070613, 0.113779, 0.014389, 23.468235
4612, 1568, 9.514558, -0.940921, 1.489193, -0.085534, 0.166006, 0.012790, 23.462353
4622, 1505, 9.655815, -0.905008, 1.522712, -0.081538, 0.191587, 0.010925, 23.441765
4632, 1568, 9.806650, -0.936133, 1.544260, -0.074876, 0.186524, 0.008793, 23.465294
4642, 1467, 9.935937, -0.964863, 1.580173, -0.075675, 0.155081, 0.007994, 23.453529
4652, 1440, 10.019734, -1.017536, 1.628057, -0.081538, 0.108717, 0.008527, 23.444706
4662, 1494, 10.029311, -1.084573, 1.692701, -0.097259, 0.058888, 0.013057, 23.456470
4672, 1578, 9.945514, -1.115698, 1.740585, -0.122839, 0.024781, 0.019185, 23.444706
4682, 1619, 9.830592, -1.103727, 1.769315, -0.148420, 0.012524, 0.025847, 23.450588
4692, 1664, 9.739613, -1.079785, 1.704672, -0.165207, 0.020518, 0.027712, 23.456470
4702, 1635, 9.703699, -1.065420, 1.618480, -0.167605, 0.047430, 0.023982, 23.456470
4712, 1632, 9.763555, -1.027112, 1.659182, -0.167072, 0.076475, 0.015988, 23.465294
4722, 1648, 9.842564, -0.964863, 1.716643, -0.168937, 0.083669, 0.010126, 23.462353
4732, 1506, 9.919178, -0.895431, 1.853112, -0.174533, 0.063152, 0.008793, 23.462353
4742, 1584, 9.926360, -0.847547, 1.829170, -0.176132, 0.030643, 0.008527, 23.468235
4752, 1693, 9.852140, -0.814029, 1.740585, -0.172934, 0.014123, 0.003997, 23.456470
4762, 1616, 9.770737, -0.778116, 1.702277, -0.163608, 0.025314, -0.001599, 23.456470
4772, 1596, 9.773131, -0.809240, 1.719037, -0.156147, 0.051694, -0.006928, 23.456470
4782, 1677, 9.830592, -0.823605, 1.838747, -0.160410, 0.064484, -0.010925, 23.468235
4792, 1664, 9.888053, -0.859518, 1.922544, -0.156680, 0.051960, -0.011458, 23.450588
4802, 1633, 9.914390, -0.883460, 1.867477, -0.137495, 0.034107, -0.013323, 23.456470
4812, 1603, 9.921572, -0.916979, 1.790863, -0.110049, 0.023982, -0.013590, 23.453529
4822, 1617, 9.923966, -0.979228, 1.733402, -0.090597, 0.023449, -0.010392, 23.450588
4832, 1698, 9.935937, -1.027112, 1.716643, -0.086600, 0.023182, -0.002931, 23.453529
4842, 1721, 9.940725, -1.046266, 1.702277, -0.093262, 0.015188, 0.003997, 23.450588
4852, 1808, 9.957485, -1.082179, 1.733402, -0.100190, 0.001332, 0.010658, 23.456470
4862, 1804, 9.931149, -1.118092, 1.786075, -0.099923, -0.019452, 0.016521, 23.471176
4872, 1819, 9.866506, -1.146823, 1.783680, -0.090064, -0.035972, 0.025580, 23.462353
4882, 1771, 9.813833, -1.137246, 1.745373, -0.078873, -0.037838, 0.033041, 23.465294
4892, 1578, 9.765948, -1.101333, 1.702277, -0.069813, -0.030643, 0.040236, 23.453529
4902, 1574, 9.773131, -1.072602, 1.675941, -0.066616, -0.020784, 0.044499, 23.447647
4912, 1535, 9.720459, -1.031901, 1.632846, -0.063152, -0.012790, 0.045565, 23.447647
4922, 1535, 9.706094, -1.019930, 1.587356, -0.057822, -0.003198, 0.043966, 23.465294
4932, 1599, 9.686940, -0.986411, 1.491588, -0.052493, 0.009593, 0.039969, 23.465294
4942, 2099, 9.691729, -0.986411, 1.470040, -0.050894, 0.025580, 0.032508, 23.468235
